city,country,temperature,feels_like,humidity,pressure,wind_speed,wind_direction,weather,weather_description,cloudiness,latitude,longitude,sunrise,sunset,timezone,timestamp
Hong Kong,HK,23.39,23.95,83,1013,4.02,100,Clear,clear sky,0,22.3193,114.1694,06:24,18:35,28800,2026-03-24 23:27:19
New York,US,4.96,0.78,41,1030,6.17,340,Clear,clear sky,0,40.7128,-74.006,18:52,07:11,-14400,2026-03-24 23:27:19
London,GB,12.25,11.57,78,1010,8.75,230,Clouds,overcast clouds,100,51.5074,-0.1278,13:54,02:19,0,2026-03-24 23:27:19
Tokyo,JP,11.81,10.59,59,1021,2.06,70,Clouds,broken clouds,75,35.6762,139.6503,04:38,16:56,32400,2026-03-24 23:27:19
Paris,FR,17.56,16.55,45,1018,6.17,200,Clear,clear sky,0,48.8566,2.3522,13:45,02:08,3600,2026-03-24 23:27:19
Sydney,AU,19.1,19.44,91,1016,1.88,287,Clouds,scattered clouds,43,-33.8688,151.2093,04:01,16:00,39600,2026-03-24 23:27:19
Mumbai,IN,31.0,31.7,45,1008,2.06,350,Smoke,smoke,50,19.076,72.8777,09:09,21:20,19800,2026-03-24 23:27:19
Singapore,SG,26.36,26.36,80,1009,4.12,40,Clouds,broken clouds,75,1.3521,103.8198,07:07,19:14,28800,2026-03-24 23:27:19
Dubai,AE,24.13,24.43,70,1007,1.75,331,Rain,light rain,6,25.2048,55.2708,10:19,22:31,14400,2026-03-24 23:27:19
Toronto,CA,0.36,-4.82,61,1030,5.66,200,Clouds,few clouds,20,43.6532,-79.3832,19:13,07:33,-14400,2026-03-24 23:27:19
Berlin,DE,15.6,14.52,50,1013,7.72,230,Clear,clear sky,0,52.52,13.405,13:00,01:25,3600,2026-03-24 23:27:19
